Postgres Comments,Query Number,Number of Joins,Query Run,Cold Postgres,Cold Postgres UOM,Warm Postgres,Warm Postgres UOM,Cold Redshift,Cold Redshift UOM,Warm Redshift,Warm Redshift UOM,Cold Postgres (sec),Warm Postgres (sec),Cold Redshift (sec),Warm Redshift (sec)
,1,5,1b,1.3,sec,827,ms,8,sec,2,ms,1.3,0.827,8,0.002
,2,5,2a,1.452,sec,1.426,sec,8,sec,1,ms,1.452,1.426,8,0.001
,3,4,3a,10.112,sec,5.25,sec,7,sec,1,ms,10.112,5.25,7,0.001
,4,5,4a,0.872,sec,977,ms,7,sec,1,ms,0.872,0.977,7,0.001
no results,5,5,5a,0.506,sec,471,ms,914,ms,1,ms,0.506,0.471,0.914,0.001
,6,5,6a,16.2,sec,16.355,sec,8,sec,1,ms,16.2,16.355,8,0.001
,7,11,7a,18.359,sec,17.698,sec,8,sec,2,ms,18.359,17.698,8,0.002
,8,8,8a,15.807,sec,12.807,sec,15,sec,2,ms,15.807,12.807,15,0.002
,9,9,9a,15.2,sec,10.5,sec,8,sec,2,ms,15.2,10.5,8,0.002
,10,7,10a,5.902,sec,5.73,sec,9,sec,2,ms,5.902,5.73,9,0.002
no results + RS,11,10,11a,255,ms,250,ms,7,sec,2,ms,0.255,0.25,7,0.002
,12,10,12a,9.648,sec,9.499,sec,8,sec,28,ms,9.648,9.499,8,0.028
,13,15,13a,13.982,sec,10.634,sec,23,sec,3,ms,13.982,10.634,23,0.003
,14,10,14a,18.939,sec,7.814,sec,8,sec,4,ms,18.939,7.814,8,0.004
,15,14,15a,3.192,sec,2.981,sec,10,sec,3,ms,3.192,2.981,10,0.003
,16,11,16a,17.78,sec,12.144,sec,8,sec,2,ms,17.78,12.144,8,0.002
,17,9,17a,27.495,sec,21.129,sec,2,sec,1,ms,27.495,21.129,2,0.001
,18,9,18a,21.431,sec,20.67,sec,16,sec,2,ms,21.431,20.67,16,0.002
,19,13,19a,25.368,sec,21.648,sec,23,sec,2,ms,25.368,21.648,23,0.002
,20,12,20a,48.451,sec,20.683,sec,14,sec,3,ms,48.451,20.683,14,0.003
no results + RS,21,14,21a,925,ms,257,ms,8,sec,3,ms,0.925,0.257,8,0.003
,22,16,22a,15.58,sec,13.455,sec,8,sec,3,ms,15.58,13.455,8,0.003
,23,16,23a,79,sec,73,sec,9,sec,2,ms,79,73,9,0.002
,24,18,24a,19.897,sec,19.15,sec,9,sec,3,ms,19.897,19.15,9,0.003
,25,14,25a,21.659,sec,17.938,sec,16,sec,2,ms,21.659,17.938,16,0.002
,26,17,26a,28.859,sec,19.36,sec,8,sec,3,ms,28.859,19.36,8,0.003
no results + RS,27,21,27a,428,ms,331,ms,9,sec,3,ms,0.428,0.331,9,0.003
,28,23,28a,9.541,sec,7.673,sec,9,sec,3,ms,9.541,7.673,9,0.003
,29,28,29a,24.5,sec,23.201,sec,10,sec,3,ms,24.5,23.201,10,0.003
,30,21,30a,19.629,sec,18.443,sec,17,sec,3,ms,19.629,18.443,17,0.003
,31,20,31a,25.975,sec,19.492,sec,9,sec,4,ms,25.975,19.492,9,0.004
no results + RS,32,6,32a,481,ms,502,ms,7,sec,2,ms,0.481,0.502,7,0.002
,33,19,33a,1.209,sec,1.34,sec,9,sec,3,ms,1.209,1.34,9,0.003